group,year,week,value
85P,2022,14,36998
85P,2022,15,39899
85P,2022,16,41952
85P,2022,17,43452
85P,2022,18,44528
85P,2022,19,45622
85P,2022,20,46910
85P,2022,21,47030
85P,2022,22,47765
85P,2022,23,48569
85P,2022,24,51123
85P,2022,25,52641
85P,2022,26,54845
85P,2022,27,58218
85P,2022,28,63160
85P,2022,29,70011
85P,2022,30,74797
85P,2022,31,78773
85P,2022,32,82900
85P,2022,33,85432
85P,2022,34,86884
85P,2022,35,87569
85P,2022,36,87715
85P,2022,37,88045
85P,2022,38,88625
85P,2022,39,90475
85P,2022,40,92765
85P,2022,41,94459
85P,2022,42,96346
85P,2022,43,97372
85P,2022,44,97476
85P,2022,45,98071
85P,2022,46,98845
85P,2022,47,99890
85P,2022,48,101765
85P,2022,49,105385
85P,2022,50,110924
85P,2022,51,118743
85P,2022,52,125940
85P,2023,0,0
85P,2023,1,6554
85P,2023,2,11195
85P,2023,3,14269
85P,2023,4,15991
85P,2023,5,17797
85P,2023,6,19276
85P,2023,7,20983
85P,2023,8,21866
85P,2023,9,22649
85P,2023,10,24170
85P,2023,11,24959
85P,2023,12,25091
85P,2023,13,24663
85P,2023,14,23919
85P,2023,15,23616
85P,2023,16,23751
